iter	Passed	Remaining
644	1195	658
645	1197	656
646	1198	654
647	1201	652
648	1204	651
649	1206	649
650	1209	648
651	1211	646
652	1213	645
653	1216	643
654	1219	642
655	1221	640
656	1223	638
657	1226	637
658	1228	635
659	1234	636
660	1240	636
661	1245	635
662	1247	634
663	1252	633
664	1257	633
665	1259	631
666	1261	629
667	1266	629
668	1270	628
669	1272	626
670	1275	625
671	1277	623
672	1283	623
673	1285	621
674	1287	619
675	1291	619
676	1295	618
677	1297	616
678	1300	614
679	1301	612
680	1306	611
681	1309	610
682	1311	608
683	1312	606
684	1315	604
685	1318	603
686	1324	603
687	1328	602
688	1330	600
689	1332	598
690	1335	597
691	1338	595
692	1347	596
693	1348	594
694	1352	593
695	1355	592
696	1359	591
697	1362	589
698	1364	587
699	1366	585
700	1368	583
701	1371	582
702	1373	580
703	1374	577
704	1377	576
705	1379	574
706	1381	572
707	1383	570
708	1387	569
709	1389	567
710	1392	565
711	1394	564
712	1397	562
713	1400	561
714	1402	559
715	1405	557
716	1407	555
717	1409	553
718	1412	551
719	1414	550
720	1417	548
721	1419	546
722	1421	544
723	1423	542
724	1426	540
725	1429	539
726	1431	537
727	1432	535
728	1434	533
729	1436	531
730	1438	529
731	1440	527
732	1442	525
733	1443	523
734	1444	520
735	1446	518
736	1448	516
737	1453	515
738	1456	514
739	1458	512
740	1460	510
741	1463	508
742	1465	506
743	1467	504
744	1469	503
745	1471	501
746	1474	499
747	1475	497
748	1477	495
749	1479	493
750	1481	491
751	1483	489
752	1485	487
753	1487	485
754	1490	483
755	1492	481
756	1494	479
757	1495	477
758	1497	475
759	1499	473
760	1502	471
761	1503	469
762	1504	467
763	1506	465
764	1509	463
765	1511	461
766	1513	459
767	1515	457
768	1516	455
769	1518	453
770	1520	451
771	1523	449
772	1524	447
773	1526	445
774	1528	443
775	1529	441
776	1532	439
777	1533	437
778	1536	435
779	1538	433
780	1539	431
781	1542	429
782	1544	428
783	1546	426
784	1549	424
785	1551	422
786	1554	420
787	1556	418
788	1558	416
789	1559	414
790	1561	412
791	1562	410
792	1564	408
793	1566	406
794	1568	404
795	1570	402
796	1572	400
797	1574	398
798	1576	396
799	1578	394
800	1581	392
801	1582	390
802	1583	388
803	1585	386
804	1588	384
805	1590	382
806	1592	380
807	1594	378
808	1596	376
809	1599	375
810	1601	373
811	1603	371
812	1605	369
813	1606	367
814	1608	365
815	1610	363
816	1613	361
817	1615	359
818	1617	357
819	1619	355
820	1621	353
821	1624	351
822	1626	349
823	1628	347
824	1630	345
825	1632	343
826	1634	341
827	1635	339
828	1637	337
829	1639	335
830	1641	333
831	1642	331
832	1644	329
833	1645	327
834	1647	325
835	1648	323
836	1649	321
837	1651	319
838	1653	317
839	1655	315
840	1658	313
841	1660	311
842	1663	309
843	1664	307
844	1665	305
845	1667	303
846	1667	301
847	1670	299
848	1673	297
849	1675	295
850	1678	293
851	1680	291
852	1682	289
853	1684	287
854	1686	286
855	1688	283
856	1689	281
857	1693	280
858	1695	278
859	1698	276
860	1699	274
861	1702	272
862	1705	270
863	1706	268
864	1708	266
865	1710	264
866	1712	262
867	1714	260
868	1715	258
869	1718	256
870	1720	254
871	1722	252
872	1724	250
873	1726	248
874	1728	246
875	1729	244
876	1732	242
877	1734	241
878	1736	239
879	1738	237
880	1739	234
881	1740	232
882	1741	230
883	1742	228
884	1743	226
885	1745	224
886	1747	222
887	1748	220
888	1749	218
889	1751	216
890	1753	214
891	1754	212
892	1755	210
893	1756	208
894	1757	206
895	1758	204
896	1759	202
897	1760	200
898	1761	197
899	1763	195
900	1764	193
901	1766	191
902	1767	189
903	1769	187
904	1771	185
905	1772	183
906	1774	181
907	1775	179
908	1778	178
909	1780	176
910	1782	174
911	1785	172
912	1786	170
913	1788	168
914	1791	166
915	1793	164
916	1795	162
917	1797	160
918	1799	158
919	1802	156
920	1804	154
921	1807	152
922	1809	150
923	1811	148
924	1813	147
925	1815	145
926	1817	143
927	1820	141
928	1822	139
929	1824	137
930	1826	135
931	1828	133
932	1830	131
933	1832	129
934	1835	127
935	1837	125
936	1839	123
937	1842	121
938	1844	119
939	1846	117
940	1848	115
941	1851	113
942	1853	112
943	1855	110
944	1857	108
945	1860	106
946	1862	104
947	1864	102
948	1866	100
949	1868	98
950	1871	96
951	1873	94
952	1875	92
953	1877	90
954	1879	88
955	1881	86
956	1883	84
957	1886	82
958	1888	80
959	1890	78
960	1892	76
961	1894	74
962	1896	72
963	1898	70
964	1900	68
965	1901	66
966	1903	64
967	1905	62
968	1907	61
969	1909	59
970	1911	57
971	1913	55
972	1916	53
973	1918	51
974	1920	49
975	1922	47
976	1924	45
977	1927	43
978	1929	41
979	1931	39
980	1933	37
981	1935	35
982	1937	33
983	1940	31
984	1942	29
985	1944	27
986	1946	25
987	1948	23
988	1950	21
989	1952	19
990	1957	17
991	1961	15
992	1963	13
993	1965	11
994	1967	9
995	1970	7
996	1972	5
997	1974	3
998	1976	1
999	1978	0
